Platform Genre        Tot_Global_Sales
    <chr>    <chr>                   <dbl>
  1 PS3      Action                 308.  
  2 Wii      Sports                 292.  
  3 X360     Shooter                279.  
  4 PS2      Sports                 273.  
  5 PS2      Action                 273.  
  6 X360     Action                 243.  
  7 Wii      Misc                   221.  
  8 PS3      Shooter                196.  
  9 PS2      Racing                 156.  
 10 X360     Sports                 139.  
 11 DS       Misc                   138.  
 12 PS3      Sports                 136.  
 13 DS       Simulation             132.  
 14 PS       Action                 127.  
 15 DS       Role-Playing           127.  
 16 PS       Sports                 121.  
 17 Wii      Action                 119.  
 18 DS       Action                 116.  
 19 PS2      Shooter                109.  
 20 PS       Racing                 103.  
 21 PS2      Misc                   101.  
 22 NES      Platform                95.8 
 23 PS2      Role-Playing            93.5 
 24 PS2      Fighting                92.6 
 25 X360     Misc                    92.0 
 26 Wii      Platform                90.7 
 27 GB       Role-Playing            88.2 
 28 PS4      Action                  87.1 
 29 DS       Puzzle                  84.3 
 30 GBA      Platform                78.3 
 31 PS       Role-Playing            78.3 
 32 DS       Platform                77.4 
 33 3DS      Role-Playing            75.7 
 34 PS4      Shooter                 75.3 
 35 PS3      Role-Playing            75.3 
 36 PS3      Racing                  74.0 
 37 PS       Fighting                72.7 
 38 PS2      Platform                72.5 
 39 X360     Role-Playing            72.0 
 40 X360     Racing                  66.0 
 41 SNES     Platform                65.6 
 42 PSP      Action                  64.7 
 43 GBA      Role-Playing            64.2 
 44 PS       Platform                64.2 
 45 XB       Shooter                 63.6 
 46 Wii      Racing                  61.3 
 47 3DS      Action                  57.0 
 48 GBA      Action                  55.8 
 49 GB       Platform                54.9 
 50 XB       Sports                  54.3 
 51 PC       Simulation              51.9 
 52 PS3      Fighting                51.7 
 53 XOne     Shooter                 51.6 
 54 PS4      Sports                  50.1 
 55 XB       Action                  49.3 
 56 PSP      Role-Playing            49.0 
 57 PS3      Misc                    47.8 
 58 PC       Role-Playing            47.8 
 59 GB       Puzzle                  47.5 
 60 DS       Adventure               47.3 
 61 PC       Strategy                45.9 
 62 PC       Shooter                 45.3 
 63 PS       Misc                    44.9 
 64 PS2      Simulation              42.7 
 65 PSP      Sports                  41.7 
 66 N64      Racing                  40.1 
 67 PS       Shooter                 39.3 
 68 DS       Racing                  38.6 
 69 GC       Action                  37.8 
 70 X360     Fighting                37.6 
 71 Wii      Simulation              37.0 
 72 SNES     Role-Playing            36.4 
 73 GBA      Misc                    36.2 
 74 N64      Platform                36.1 
 75 NES      Shooter                 35.6 
 76 PSP      Racing                  34.7 
 77 XOne     Action                  33.8 
 78 N64      Sports                  32.8 
 79 3DS      Platform                32.2 
 80 DS       Sports                  31.8 
 81 PC       Action                  31.5 
 82 XB       Racing                  31.5 
 83 PS3      Platform                30.3 
 84 N64      Action                  29.6 
 85 2600     Action                  29.3 
 86 Wii      Shooter                 28.8 
 87 NES      Action                  28.8 
 88 GC       Platform                28.7 
 89 3DS      Simulation              27.1 
 90 SNES     Fighting                27.0 
 91 NES      Sports                  26.8 
 92 2600     Shooter                 26.5 
 93 PS4      Role-Playing            25.8 
 94 GC       Sports                  25.5 
 95 PS       Simulation              25.3 
 96 XOne     Sports                  24.0 
 97 Wii      Fighting                23.9 
 98 PS3      Adventure               22.9 
 99 N64      Fighting                22.1 
100 PSP      Fighting                22.0 
101 GC       Racing                  21.9 
102 PS       Strategy                21.7 
103 WiiU     Platform                21.2 
104 PS2      Adventure               21.2 
105 NES      Puzzle                  21    
106 PS       Adventure               21.0 
107 PSV      Action                  20.0 
108 PSP      Shooter                 19.8 
109 WiiU     Action                  19.4 
110 N64      Shooter                 19.3 
111 GBA      Racing                  18.8 
112 NES      Role-Playing            18.8 
113 GC       Fighting                18.4 
114 Wii      Adventure               18.4 
115 SNES     Sports                  17.9 
116 PSP      Platform                17.3 
117 GB       Adventure               17.2 
118 GC       Misc                    16.7 
119 GBA      Sports                  16.4 
120 Wii      Puzzle                  15.7 
121 GEN      Platform                15.4 
122 DS       Strategy                15.4 
123 X360     Adventure               15.2 
124 PS2      Strategy                15.2 
125 2600     Puzzle                  14.7 
126 GBA      Adventure               14.7 
127 3DS      Racing                  14.5 
128 X360     Simulation              14.4 
129 Wii      Role-Playing            14.1 
130 PSP      Misc                    14.0 
131 GC       Shooter                 13.6 
132 XB       Fighting                13.6 
133 XB       Role-Playing            13.5 
